5760 | discord.client | DEBUG | on_ready has successfully been registered as an event
5760 | discord.client | DEBUG | Dispatching event socket_raw_send
5760 | websockets.protocol | DEBUG | client > Frame(fin=True, opcode=1, data=b'{"op":1,"d":null}', rsv1=False, rsv2=False, rsv3=False)
5760 | discord.client | DEBUG | Dispatching event socket_raw_send
5760 | websockets.protocol | DEBUG | client > Frame(fin=True, opcode=1, data=b'{"op":2,"d":{"token":"NTkyODAzODEzNTkzODQxNjg5.XREppQ.6qFh8M1n3dGtnMAC5zPxJA5w8LQ","properties":{"$os":"win32","$browser":"discord.py","$device":"discord.py","$referrer":"","$referring_domain":""},"compress":true,"large_threshold":250,"v":3}}', rsv1=False, rsv2=False, rsv3=False)
5760 | discord.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
5760 | websockets.protocol | DEBUG | client < Frame(fin=True, opcode=2, data=b'\xaa\xc6e\xab!\xd8V\x90@-\x00\x00\x00\xff\xff', rsv1=False, rsv2=False, rsv3=False)
5760 | discord.client | DEBUG | Dispatching event socket_raw_receive
5760 | discord.gateway | DEBUG | For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
5760 | discord.client | DEBUG | Dispatching event socket_response
5760 | websockets.protocol | DEBUG | client < Frame(fin=True, opcode=2, data=b'\x9c\x93Oo\xe3 \x10\xc5\xbf\x0b\xe7T\xe2\x8fm\xec\xbdUj\xa5\x9e{\xa9\xaan\x84\xc6x\x9a\xa0:\xd828\x95\xb6\xcaw\xdf\x81$[\x85\xd5^V\\`\xfc{\x8fy\x803\xc3\x9e\x1f\xef\x1f^Y\xc6\xc4\x99\xb96vd?\x9a\r[\x03.&`\x8c\xce\xef\x88\xf9:\x9dK\x19\xc0\xc5\xbd;$8.+\x9e\xeb\x1e\x0e\xd40{Y\x0f\xf3\x1a\x9e\xc0~\x90\xf5\xe1\x1d\x0cz\xe8\xc7o\xd4\xd1\x8c\xd5\x9dl\xb9j\x85\xaa;\xd5V\xa2i;\x82\x91\xb2\x8d\xd7\x96\x07\x17\xec\xe2\x0e\xceC\x9chK\xa6\x94h\x89\xe9\xa7x5\x82#DX.\x89(\x05\x86\xe0&o\xb2\xbf\xec\xa5\xe5\\\xa9\xca\xf6\x83\xe8\xb5\xe6\x80J\xb7]#5\xda\xben\x80\x9c\x16\x1c!\x92 \xec\xddL\xe9\xde\xb6\x1b6/\x8e<\xd1\xd8=x\x8f\xe3\x9f*\x06\xf4\x16/\xcb\xdd\xea\xc6!\xcd\xbf\xd8\xea\xa9\x077\xa6xE:Q\xab\xa6\xe3]\xa3)\xa8\xa8x\xcbN\xdb\xff\xb8S\xa1+\xa97?\x99\x85qLk\x92\xa5c\x99HrI\x1b\xb2^\xdc\xc9R\xa9tS(\x03\x1dV4\x17]\x89sj\xf3\x16\x87\xd9}\xf7\xf6yTu!i\x85\xe4\xb7\x8a\x1dF\x93\xde\xc1_!\xba\xeaD$\x0c\x83\x815\xee\xa7\xc5\xfd\xc2\xc1\xb8\xb9\xe0\xea\x04%\x8f\xf3\x01\x17_e#\xb3\x0b\x85\x9f\x82\xf9\x04\x17\xcb\xf7\x7f\xda\xd2H\x16Yn\xecDWhK\xea&d\xc6\xaf\xb7\xfb\x0f\x81\xe4Z\xdfj\xf2H?\xdao\x00\x00\x00\xff\xff', rsv1=False, rsv2=False, rsv3=False)
5760 | websockets.protocol | DEBUG | client < Frame(fin=True, opcode=2, data=b'\xecZ\xdb\x92\xdb\xc6\x11\xfd\x15\x86\x95\xb7X[s\xbf\xf0)\x8e\x94r9\xb1+\xaa\xb2\x9c7\x15k\x00\x0cva\x83\x00\x03\x82\xbb^+z\xcb\x97\xe4\xd3\xfc%>\x03\x10 H\x02\\RZ\x97\x94K\xe9E\x8b\xcbL\xf7\xe9\xee\xd3g\x1al\x8b\xe8\xab\xef\xbf\xfe\xe6\xd5\xf2%j\xe9\xcd\x9f\xdbZb\x87\xb5\xf4C\x99\x15\xf0\xd7\x85\x87\x19\xa1\xf6\x05Q/\x98x\xc3\xd8\x82\xda\x85 7\\\x10\xcb\xf9\x1f\x08Y\x10\x12\x16x\xdc\xd4~\xd5\xa5\xe0r4\x9f(\xc3\x83\x19\x0c\xc6=gy\xa4\rKU\x8a4w$\xa2\x9a1\x17;\xc7\xb9\x15D\'\x1eO\xe6\xee\xe7\xc7.?\xcb\x87\x02E\xdd\xd6\x08\xb3\xcaJF\x081\x8crf-\xc7\xb3\x89\x0fe\xb7\x0e\x85\xd1Ub[\xebqS,\xcb\xdc\xdf\xfb\xbcq\x0e\xc0\xad\xb2\xedj\xb9\xd9F\xfd+\x00q[\xd4\x07\xb7\xeb,0\x069q,\xcd] \x15\xdc8\xa8\xa2\xd4\xe5\x1b\x989\xc6%\xc3:|\xd73\xd1\x94+\x81\x11jWo\xf1\xf4\xbc,r\xc4\x00K\xdc6\xcb\xb6n\xc5y\xe6\x0b\x14\xc4\xee\xa1w\xc1\xf5\x1f\xeb\x10\xb9\xeey,\xe1\xe2:\xbb\xcf\xe0\xc3\xa6\xcd\x97\xe3}\x85T\x92\x13m\x90\xe3(V\xa1\xe4\xc1\xbeY\x92\xefwE\xba<\xae}\xe3q\x9d\xad<\x1eZ\xad\x9b}\x9b\xc2DjJE\xb9%\xa8+\xc6\xd5\xfb\x1e\x82\x97\xf96\x9a\xbd\xf6\x05\xd2\xba\xf8\xe5_\xff\x9e\xef(\x86\xa5\x91U\xc2\x07\x0e52b!!\xe2\n\x9dd\x97i\xddbDH\x89\xba9\xe7lc\xe4\xb1\xab\x9f\xd0\xd8\x11\x94\r\x03\xcc\xccJ.)\xe5\n\x7f\x9c\x8b\xee%\xa6\xa3\x828\x8a\xce\xd0\xbd\xe9o\xee\xfc\xac\xe9\xc2\x85\xaf7\x9d\xe1FsEhl\x85\xe2JH\x92\x8e\x18\x8e\xa5\x84\xe4\x94\xd2\xf3(O\xa4\xd4\'3\xf6\x14ei\x88\xc4=\xc9\xd1:\xac\x10T\xda\x0bQ\xde\xd9\xf4\xfb;\x9f\xafg\xff\x9c}[&\xberA3\xcc\x18\x91\xb3\xb0\xc7\xe6w\x9d\x8d>&\x113Nj\x8b>,\xa2d\xd4F! \x0b\x04\x19\x03\xf4\xc1G\x17\x81\xf9\x9b\xd94\x82\xdb\xa9\x94\xb9\x9e{\xce\xfa\xf56\x88\x87\x95_E`\xee\x1d\xc1B\x9dE\x81G\xabnE\x90c\xea\xab\n6\xe7%\x9aUp\xde\x17/\xbe\xffn>-I\x82\xe0*\x7f\xc8Z\xe4\xaa2\xef\x04N\xe5\xff\xb1\xcd\xaa\xd0\x10s\x08\x8c\xaeq\xec\x10\xcdK\x97\x00\xc6 \xed\\\xe1n\x83\xac\xdbQv\x0f\x06\x05\x17Za\xb4 \xf8G\xe7\x8dP;\x14I\xae\xc8V\x01\xdf\xf6\xef\x80\xe8\x95\xdb\xb3\'\xf7WDX\x8d\x90\xea\xe7\xdd?)\x9bX\x9e\xd9\xdbZi\x04HJX\xf5\x84\xef\xcd\xbb\xd7l\x1eCI\x9c\xdb\x9cST.a\x82[\xcd9\xbbds\xec\xb8Y\xe7ns\xd7\xa5Q\xee\xaa\xdb}\x17N|\xea\xb6y\xbd\x041m\xb0\xe5\xb2(\xeb^\t\xb4\x87\x06\x97\xfe\xb8\x0c\xc4Un\x91\x94\x9c\xa0\xf2\xee\xcb\x0cb*d\xf6\xa0Q\x9f\x11\x1c\x9b\xed:4\xf6M\xbf\xe9\x81\x8e\x97\x94\xc84N\x183Q\xa4\xf0&\xb4\x92\xa7)\xf7I\x02\xaeJ|H\xe2\x8d\xcf\xd3\xe5}\x96\xf8r\xb0\x04.\xad\xb6u\xefws!\xf1.\xed\x1fi\xef\xf6~\x0e\xee\x9cW^b\xde\x11\xc0r\xaa7=\xe5S"]\xea\x0c\x0b\x14\xcb\xa2\xc4G1\xc7\xfb46\x91\xb4\x84\xc8\xd8?\xe9\xd3\xf0\xcas9\xd5\xe4\xdem\xa3\xfa\xe0\xdd\x8b\x07\xb4"\xd8q\x8f\x84\xa9\x1f\x97\xdb*GF&=}\xb5\\t\xa8\xc3\x06\'\xc0\xbf~\xf9\x17\xdd\xb7\xfe1|\x8e\xcfv\xc8\x88]\xad4\x07\xba\xb9[\x9a\xd8\x1a\x9fx\xf0\x94H\xb9u\xc6[!\x85S)\xa3Q*\x9dhdVW6\xad?\x9a\xa0\xef\x81\x84\tQ\x9a\xcd\xdf\x1e\x811*\xc2\xe9\x1b\xa2\x17R-\x84\xb9\x91\n6\x90^\x84\x0f\xb0\x1b\xf2\xfd\xc0\xc7\xd7%J\xa5wrTI\x1f9)Ms\xb9wRp\x88v4\x0c\xab\x91\xdf\xa9L8\x1cL\xbc\x84\x931\xb5\x92\xd8gu\x91\xd9\x1b\x896\xf5\x7f\x17\x0f]\xfc\xc6U\xf7\xfe\xb1\xf7\xf1T\xcd_\x92\xab\x16\x1a8\x89b\xe7\x85\x8d\x12\xa7m\xc4}\xcch\x9c(\x1e!s\xa3\xe8Y\xbd\xe4\xfa\xc6Rv\x9d\x97\xff\x0b\xf5\xf8u\xedf_\xa2\x8f\xf5nr\x82F\xac\x0c\x87zSR5\xed\xf0\xd8Mc\xa9:p3\x12*\xe1\xcc\xf1\x88E\x1e\x0e$\xe0G\xa3H\xca\x13\x1d\x11\x1d\x9b#\'\x99\x14\xe0k\x1c\\\xa8\xe5B1~\x99\x93\xe2\ra\x0bF\x17\\\xdc\x84\x13\xfauN\x16qy\x0bF.g\x7f*\xeb^\xd9\x9d\xea\xf6\x91\x88\n!\xc6\xa7gs\x04\x95\x99\xd4\xd0\xc8AB\xf8D\x1a\x98\x81BV\x82&D\x93\x98\x9c\x84V\x10*5\x93&\xcc\x98\x1a\xc3\xdb\x8b\x0cW5".\x8c0\x17\xc7\xdb,\x88]0~\xa3\xcd\x95\xf1>\x98\x0cL\x8f\x14\xaf\x9e"\x0e\xe3\x8bU i\x882L\x13Jt\xe3i\xb8\xa8U\xc8\x1c\xc6\xa02\xe5\xfc\xed`\x12\x92\x15q\xdf#\x8b\x0c\xa6u\xfd\xf2\x82\xac\x98\x9a\x07\r\xa1\xc0^\xfe\xa7u\x9e\xc5Y\x1d\xc6Uu8C\xa4Y^\xef&,)\x0e-\xdb\xaa\x93\x92A\x9a\r\xdb~kJ\xe7\xdf\xbb\xf9\xba\xdcd\xed\x98\'Lk|\xb5\xca\xda\x89b\x98\x06\nj\xc0\xcf\xb2W\x9e\x7f\xf4\xf7\xbez\xdci_\xec\x8a\xe7\x0e\xc65\x13\x92t\xe4\xc8qWfP\x16\xbd,\x81\xcc\r\xb6\x87 \xef\xedQ\xe3\xf6P\xde\xdb\xf3\xba*o+\xb7Z\xf9\xeaj\x83\x0ey\xa97\xa8M\x86\x9d=TK\xc6\xd8\x91U\xfcI\x94\xbe\xdd\xc9\xa2\xabM\x12\xd2pkQ\xc7B\x93\t\x93\xb8\xc0=\xc2\x0fMbG&\x99\xde\x94c\xa68k\xd0\xd1\xe4\xfa\xa4\xbe/\x89\x99x2f0\xa4.\xaf\xc5\xe6\x88V&\xc2\x85\xbb\xccryh\x91|2^_Un}\x97\xc5\xb3W~\x93\xdd\x16\xd7\xe6\xd2\t\xfdO\x04\x8e(\x05\xb5th\x1b\x9d\x0c\xdc\xe1\xd7\x93\x8b\xa36\xc2U\x97DM?\x19\xb5\xbf\xa1\xf0\xf1fr%6\xc7,9a\x0eU\x9a\x82\xa9I`\xb6\xc1G\x97\xdd\x01+\x07q\xb7\xc3\xe4v\xae\x13rl\x1c\xc2e\t3\x1f\xaa\xac\xee\xc8\xaf\x9b\x93\xf9\x9f\xea\xd9\xcbn\xe1\t^\xa2!\xc7\xa3\xac\xae\\`i\x15zr@i?\x98+\xd7Y\xdc\xf3g\xf8>\xd4\x18\xb6\xc4\xf6\xcb\xb63\x91/\xa6\x8a\xf2\xc4\xb0\xb5\xab\x02kO\x1bRl\xd2\x87\xe31\xf8\xadGv\xba\xbc\x19\xe5o\xb0qV,\xfbi\xe1\x91\xb6\xe0\x0b.\x17\x92\xde(\xa3\x86\r\xb5y\xaf;\xc6\xef\x83\xc4(%Tk&4\xd7z\x12\x1f\xb6?\xf3\x9e\r\xc9y\xcfw\xbe\xfc=\xcc\x07\x9e\x8e\t\x1f\x8d\xc9\xa8\r\xec\x8b\xa9^v\x1d\xfaa\xcb\x8e\x19z\xc0\xa7\x0e\xcc\x17[w\x80\x10\x9f\xb6\xaeK\xb8\xa6C\x9f\x9d\xda%\xbexlJ\xd5\xaa0pqy^>\xec*{j\x89\xe3\xa6\xd7.\xb1\x7fy\xb7\xd8\xfb}\x98^\xf9\xfb\xd9wwY}\xb8\x0c\xd3F\x80\xec4S\xeay\x8bF|\xfe\xc0\x9c\xe4\xce1\x1ac\x95\x0b\x17\xeav\\zR\x81-4\x83\xe5 M\xb1&N,\x9c\xdb\x0b+\xeeL\xb6_\x0b\x1b#\xc2\x0c0{;\x90\x12iY\xad\x9a\x99\xdf!t\xf0[\x86\x19\x96%\x8d\xd4~\xbed\xf8M\xbd:\r\xe3\x91\x1fca\xcc\x80\xc1E1\xd4F\x87/\xd5\xcaP\xa2\xe6\x1f\x83\xc1\x99\xf6\xf6\x890\x00a\x97[\x1cp\x82\x0c\xd8\\\x04\x86\xb5\x8c\x19\xa3\xac\xe1\xca|\x14\x18\xf2\xbf\x94\x1d2\x1c\xeeF\xa1\x0c\xdd9\xa8p\xa2\xa9\x12P\x98\xdc\x8a\x03\xc3\x0c\xc5M\tee\xf4GB\xab>sh\xa7\x9789\x1a\x9c.\xc1\xc4\x07\x87&/GI;\x04F[\xca\x14t\x93\xa5\x94\n9\x08\x0c\x96\xd5B\xa0\xf45\x12\x1e\xff\xf9\xa8\xc0\xe8\xcf<0\x1f\x9c\xf3\xabuY\xd5\xae\xa8\'U)\xe5\x00WJeq\nm\x06t\xfb\xf1N\xf8\xa0\xc8\t\x03\xbe8\xee}\x14\xbc\xff\x01J\xec\x83\xe0=:*\x8c\x80\x1b\x06\xf8\x96\x9a\x00\xb0\x1d\x82KY\xf8ri\x83\x85\xd4\xea\xe6\x8bP\xf8\xf5\xde\xfe\x07?n\x1dFO\xed\xcf\x80:\xbe\x7f\xff\xfeW\x00\x00\x00\xff\xff', rsv1=False, rsv2=False, rsv3=False)
5760 | discord.client | DEBUG | Dispatching event socket_raw_receive
5760 | discord.gateway | DEBUG | For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 6, 'user_settings': {}, 'user': {'verified': True, 'username': 'WumpusHack', 'mfa_enabled': True, 'id': '592803813593841689', 'email': None, 'discriminator': '3318', 'bot': True, 'avatar': None}, 'session_id': '2b2c00334cbd1b770ae3789627ecb56a', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '591536909675921408'}], '_trace': ['["gateway-prd-main-t7tr",{"micros":17427,"calls":["discord-sessions-prd-1-2",{"micros":13767,"calls":["start_session",{"micros":10921,"calls":["api-prd-main-wv35",{"micros":8120,"calls":["get_user",{"micros":1794},"add_authorized_ip",{"micros":5},"get_guilds",{"micros":2624},"coros_wait",{"micros":0}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":2077,"calls":[]}]}]}]']}}
5760 | discord.client | DEBUG | Dispatching event socket_response
5760 | discord.gateway | INFO | Shard ID None has connected to Gateway: ["gateway-prd-main-t7tr",{"micros":17427,"calls":["discord-sessions-prd-1-2",{"micros":13767,"calls":["start_session",{"micros":10921,"calls":["api-prd-main-wv35",{"micros":8120,"calls":["get_user",{"micros":1794},"add_authorized_ip",{"micros":5},"get_guilds",{"micros":2624},"coros_wait",{"micros":0}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":2077,"calls":[]}]}]}] (Session ID: 2b2c00334cbd1b770ae3789627ecb56a).
5760 | discord.client | DEBUG | Dispatching event connect
5760 | discord.client | DEBUG | Dispatching event socket_raw_receive
